Team,Year,Sport,Gold_Count,Silver_Count,Bronze_Count
Australia,2020,Sailing,2,0,0
Australia,2020,Skateboarding,1,0,0
Australia,2020,Surfing,0,0,1
Australia,2020,Swimming,9,3,8
Australia,2020,Tennis,0,0,1
Australia,2024,Athletics,1,2,4
Australia,2024,Basketball,0,0,1
Australia,2024,Boxing,0,0,2
Australia,2024,Canoe Slalom,3,0,0
Australia,2024,Canoe Sprint,0,1,1
Australia,2024,Cycling BMX Freestyle,0,0,1
Australia,2024,Cycling BMX Racing,1,0,0
Australia,2024,Cycling Road,1,0,0
Australia,2024,Cycling Track,1,2,2
Australia,2024,Diving,0,1,0
Australia,2024,Equestrian,0,1,0
Australia,2024,Rowing,0,0,1
Australia,2024,Sailing,1,1,0
Australia,2024,Shooting,0,0,1
Australia,2024,Skateboarding,2,0,0
Australia,2024,Surfing,0,1,0
Australia,2024,Swimming,7,8,3
Australia,2024,Tennis,1,0,0
Australia,2024,Water Polo,0,1,0
Australia,1996,Beach Volleyball,0,0,1
Australia,2000,Beach Volleyball,1,0,0
Austria,1992,Equestrianism,0,1,0
Austria,1992,Rowing,0,1,0
Austria,1996,Athletics,0,0,1
Austria,1996,Shooting,0,1,1
Austria,2000,Athletics,0,1,0
Austria,2000,Sailing,2,0,0
Austria,2004,Judo,0,1,0
Austria,2004,Sailing,1,1,0
Austria,2004,Shooting,0,0,1
Austria,2004,Swimming,0,2,0
Austria,2004,Triathlon,1,0,0
Austria,2008,Canoeing,0,0,1
Austria,2008,Judo,0,1,0
Austria,2008,Swimming,0,0,1
Austria,2016,Sailing,0,0,1
Austria,2020,Athletics,0,0,1
Austria,2020,Cycling Road,1,0,0
Austria,2020,Judo,0,1,1
Austria,2020,Karate,0,0,1
Austria,2020,Rowing,0,0,1
Austria,2020,Sport Climbing,0,0,1
Austria,2024,Judo,0,0,1
Austria,2024,Sailing,2,0,0
Austria,2024,Sport Climbing,0,0,2
Azerbaijan,1996,Wrestling,0,1,0
Azerbaijan,2000,Boxing,0,0,1
Azerbaijan,2000,Shooting,1,0,0
Azerbaijan,2000,Wrestling,1,0,0
Azerbaijan,2004,Boxing,0,0,2
Azerbaijan,2004,Shooting,0,0,2
Azerbaijan,2004,Wrestling,1,0,0
Azerbaijan,2008,Boxing,0,0,1
Azerbaijan,2008,Judo,1,0,1
Azerbaijan,2008,Wrestling,0,2,2
Azerbaijan,2012,Boxing,0,0,2
Azerbaijan,2012,Weightlifting,0,0,1
Azerbaijan,2012,Wrestling,2,2,3
Azerbaijan,2016,Boxing,0,1,1
Azerbaijan,2016,Canoeing,0,1,1
Azerbaijan,2016,Judo,0,2,0
Azerbaijan,2016,Taekwondo,1,0,2
Azerbaijan,2016,Wrestling,0,3,6
Azerbaijan,2020,Boxing,0,0,1
Azerbaijan,2020,Judo,0,0,1
Azerbaijan,2020,Karate,0,2,0
Azerbaijan,2020,Wrestling,0,1,2
Azerbaijan,2024,Boxing,0,1,0
Azerbaijan,2024,Judo,2,0,0
Azerbaijan,2024,Taekwondo,0,1,0
Azerbaijan,2024,Wrestling,0,0,3
Bahamas,1992,Athletics,0,0,1
Bahamas,1996,Athletics,0,1,0
Bahamas,2000,Athletics,2,0,1
Bahamas,2004,Athletics,1,0,1
Bahamas,2008,Athletics,0,1,1
Bahamas,2012,Athletics,1,0,0
Bahamas,2016,Athletics,1,0,1
Bahamas,2020,Athletics,2,0,0
Bahrain,2012,Athletics,0,0,1
Bahrain,2016,Athletics,1,1,0
Bahrain,2020,Athletics,0,1,0
Bahrain,2024,Athletics,1,1,0
Bahrain,2024,Weightlifting,0,0,1
Bahrain,2024,Wrestling,1,0,0
Barbados,2000,Athletics,0,0,1
Belarus,1996,Athletics,0,2,2
Belarus,1996,Gymnastics,0,0,4
Belarus,1996,Rowing,1,0,1
Belarus,1996,Shooting,0,1,0
Belarus,1996,Wrestling,0,3,1
Belarus,2000,Athletics,2,0,3
Belarus,2000,Judo,0,0,1
Belarus,2000,Modern Pentathlon,0,0,1
Belarus,2000,Rhythmic Gymnastics,0,2,0
Belarus,2000,Rowing,1,0,0
Belarus,2000,Shooting,0,1,3
Belarus,2000,Weightlifting,0,0,2
Belarus,2000,Wrestling,0,0,1
Belarus,2004,Athletics,1,0,0
Belarus,2004,Boxing,0,2,0
Belarus,2004,Canoeing,0,0,1
Belarus,2004,Cycling,0,0,1
Belarus,2004,Judo,1,0,0
Belarus,2004,Rowing,0,1,1
Belarus,2004,Shooting,0,0,1
Belarus,2004,Weightlifting,0,2,1
Belarus,2004,Wrestling,0,0,1
Belarus,2008,Athletics,1,3,2
Belarus,2008,Canoeing,2,0,1
Belarus,2008,Rhythmic Gymnastics,0,1,1
Belarus,2008,Rowing,0,0,2
Belarus,2008,Weightlifting,1,1,1
Belarus,2008,Wrestling,0,0,2
Belarus,2012,Canoeing,0,2,1
Belarus,2012,Rhythmic Gymnastics,0,1,1
Belarus,2012,Shooting,1,0,0
Belarus,2012,Swimming,0,2,0
Belarus,2012,Tennis,1,0,1
Belarus,2012,Weightlifting,0,0,2
Belarus,2016,Athletics,0,1,0
Belarus,2016,Canoeing,0,0,1
Belarus,2016,Swimming,0,0,1
Belarus,2016,Trampolining,1,0,0
Belarus,2016,Weightlifting,0,2,0
Belarus,2016,Wrestling,0,1,2
Belarus,2020,Athletics,0,0,1
Belarus,2020,Canoe Sprint,0,1,0
Belarus,2020,Rhythmic Gymnastics,0,0,1
Belarus,2020,Trampoline Gymnastics,1,0,0
Belarus,2020,Wrestling,0,2,1
Belgium,1992,Cycling,0,0,1
Belgium,1992,Judo,0,0,1
Belgium,1992,Rowing,0,1,0
Belgium,1996,Judo,1,1,2
Belgium,1996,Sailing,0,1,0
Belgium,1996,Swimming,1,0,0
Belgium,2000,Cycling,0,2,0
Belgium,2000,Judo,0,0,2
Belgium,2000,Tennis,0,0,1
Belgium,2004,Cycling,0,0,1
Belgium,2004,Judo,0,0,1
Belgium,2004,Tennis,1,0,0
Belgium,2008,Athletics,1,1,0
Belgium,2012,Judo,0,0,1
Belgium,2012,Sailing,0,0,1
Belgium,2012,Shooting,0,1,0
Belgium,2016,Athletics,1,0,0
Belgium,2016,Cycling,1,0,1
Belgium,2016,Hockey,0,1,0
Belgium,2016,Judo,0,0,1
Belgium,2016,Swimming,0,1,0
Belgium,2020,Artistic Gymnastics,1,0,0
Belgium,2020,Athletics,1,0,1
Belgium,2020,Cycling Road,0,1,0
Belgium,2020,Equestrian,0,0,1
Belgium,2020,Hockey,1,0,0
Belgium,2020,Judo,0,0,1
Belgium,2024,Athletics,1,1,1
Belgium,2024,Cycling Road,2,0,1
Belgium,2024,Cycling Track,0,0,1
Belgium,2024,Judo,0,0,1
Belgium,2024,Taekwondo,0,0,1
Bermuda,2020,Triathlon,1,0,0
Bonaparte,2008,Equestrianism,1,0,0
Botswana,2012,Athletics,0,1,0
Botswana,2020,Athletics,0,0,1
Botswana,2024,Athletics,1,1,0
Brazil,1992,Judo,1,0,0
Brazil,1992,Swimming,0,1,0
Brazil,1992,Volleyball,1,0,0
Brazil,1996,Athletics,0,0,1
Brazil,1996,Basketball,0,1,0
Brazil,1996,Equestrianism,0,0,1
Brazil,1996,Football,0,0,1
Brazil,1996,Judo,0,0,2
Brazil,1996,Sailing,2,0,1
Brazil,1996,Swimming,0,1,2
Brazil,1996,Volleyball,0,0,1
Brazil,2000,Athletics,0,1,0
Brazil,2000,Basketball,0,0,1
Brazil,2000,Equestrianism,0,0,1
Brazil,2000,Judo,0,2,0
Brazil,2000,Sailing,0,1,1
Brazil,2000,Swimming,0,0,1
Brazil,2000,Volleyball,0,0,1
Brazil,2004,Athletics,0,0,1
Brazil,2004,Equestrianism,1,0,0
Brazil,2004,Football,0,1,0
Brazil,2004,Judo,0,0,2
Brazil,2004,Sailing,2,0,0
Brazil,2004,Volleyball,1,0,0
Brazil,2008,Athletics,1,0,1
Brazil,2008,Football,0,1,1
Brazil,2008,Judo,0,0,3
Brazil,2008,Sailing,0,1,1
Brazil,2008,Swimming,1,0,1
Brazil,2008,Taekwondo,0,0,1
Brazil,2008,Volleyball,1,1,0
Brazil,2012,Boxing,0,1,2
Brazil,2012,Football,0,1,0
Brazil,2012,Gymnastics,1,0,0
Brazil,2012,Judo,1,0,3
Brazil,2012,Modern Pentathlon,0,0,1
Brazil,2012,Sailing,0,0,1
Brazil,2012,Swimming,0,1,1
Brazil,2012,Volleyball,1,1,0
Brazil,2016,Athletics,1,0,0
Brazil,2016,Boxing,1,0,0
Brazil,2016,Canoeing,0,2,1
Brazil,2016,Football,1,0,0
Brazil,2016,Gymnastics,0,2,1
Brazil,2016,Judo,1,0,2
Brazil,2016,Sailing,1,0,0
Brazil,2016,Shooting,0,1,0
Brazil,2016,Swimming,0,0,1
Brazil,2016,Taekwondo,0,0,1
Brazil,2016,Volleyball,1,0,0
Brazil,2020,Artistic Gymnastics,1,1,0
Brazil,2020,Athletics,0,0,2
Brazil,2020,Boxing,1,1,1
Brazil,2020,Canoe Sprint,1,0,0
Brazil,2020,Football,1,0,0
Brazil,2020,Judo,0,0,2
Brazil,2020,Marathon Swimming,1,0,0
Brazil,2020,Sailing,1,0,0
Brazil,2020,Skateboarding,0,3,0
Brazil,2020,Surfing,1,0,0
Brazil,2020,Swimming,0,0,2
Brazil,2020,Tennis,0,0,1
Brazil,2020,Volleyball,0,1,0
Brazil,2024,Artistic Gymnastics,1,2,1
Brazil,2024,Athletics,0,1,1
Brazil,2024,Beach Volleyball,1,0,0
Brazil,2024,Boxing,0,0,1
Brazil,2024,Canoe Sprint,0,1,0
Brazil,2024,Football,0,1,0
Brazil,2024,Judo,1,1,2
Brazil,2024,Skateboarding,0,0,2
Brazil,2024,Surfing,0,0,1
Brazil,2024,Taekwondo,0,0,1
Brazil,2024,Volleyball,0,0,1
Brazil,1996,Beach Volleyball,1,0,0
Brazil,2000,Beach Volleyball,0,2,0
Brazil,2004,Beach Volleyball,1,1,0
Brazil,2008,Beach Volleyball,0,1,0
Brazil,2012,Beach Volleyball,0,1,1
Brazil,2016,Beach Volleyball,1,1,0
Brazil,1996,Beach Volleyball,0,1,0
Brazil,2000,Beach Volleyball,0,0,1
Brazil,2008,Beach Volleyball,0,0,1
Bulgaria,1992,Athletics,0,1,1
Bulgaria,1992,Boxing,0,1,1
Bulgaria,1992,Canoeing,2,0,1
Bulgaria,1992,Shooting,0,2,1
Bulgaria,1992,Weightlifting,1,2,1
Bulgaria,1992,Wrestling,0,1,1
Bulgaria,1996,Athletics,1,0,0
Bulgaria,1996,Boxing,1,2,0
Bulgaria,1996,Canoeing,0,0,1
Bulgaria,1996,Gymnastics,0,1,0
Bulgaria,1996,Rhythmic Gymnastics,0,1,0
Bulgaria,1996,Shooting,0,2,2
Bulgaria,1996,Weightlifting,0,1,2
Bulgaria,1996,Wrestling,1,0,0
Bulgaria,2000,Athletics,1,0,0
Bulgaria,2000,Canoeing,0,2,0
Bulgaria,2000,Gymnastics,0,0,2
Bulgaria,2000,Rowing,0,1,0
Bulgaria,2000,Shooting,2,0,0
Bulgaria,2000,Weightlifting,1,2,0
Bulgaria,2000,Wrestling,1,1,0
Bulgaria,2004,Boxing,0,0,1
Bulgaria,2004,Gymnastics,0,1,1
Bulgaria,2004,Judo,0,0,1
Bulgaria,2004,Rhythmic Gymnastics,0,0,1
Bulgaria,2004,Rowing,0,0,2
Bulgaria,2004,Shooting,1,0,1
Bulgaria,2004,Weightlifting,1,0,1
Bulgaria,2004,Wrestling,0,0,1
Bulgaria,2008,Rowing,1,0,0
Bulgaria,2008,Wrestling,0,1,3
Bulgaria,2012,Boxing,0,0,1
Bulgaria,2012,Wrestling,0,1,0
Bulgaria,2016,Athletics,0,1,0
Bulgaria,2016,Rhythmic Gymnastics,0,0,1
Bulgaria,2016,Wrestling,0,0,1
Bulgaria,2020,Boxing,1,0,0
Bulgaria,2020,Karate,1,0,0
Bulgaria,2020,Rhythmic Gymnastics,1,0,0
Bulgaria,2020,Shooting,0,1,0
Bulgaria,2020,Wrestling,0,0,2
Bulgaria,2024,Boxing,0,0,1
Bulgaria,2024,Rhythmic Gymnastics,0,1,0
Bulgaria,2024,Taekwondo,0,0,1
Bulgaria,2024,Weightlifting,1,0,1
Bulgaria,2024,Wrestling,2,0,0
Burkina Faso,2020,Athletics,0,0,1
Burundi,1996,Athletics,1,0,0
Burundi,2016,Athletics,0,1,0
Cabo Verde,2024,Boxing,0,0,1
Cameroon,2000,Football,1,0,0
Cameroon,2004,Athletics,1,0,0
Cameroon,2008,Athletics,1,0,0
Canada,1992,Athletics,1,1,1
Canada,1992,Boxing,0,1,1
Canada,1992,Cycling,0,0,1
Canada,1992,Judo,0,0,1
Canada,1992,Rowing,4,0,1
Canada,1992,Sailing,0,0,1
Canada,1992,Swimming,1,0,1
Canada,1992,Synchronized Swimming,1,1,0
Canada,1992,Wrestling,0,1,0
Canada,1996,Athletics,2,0,0
Canada,1996,Boxing,0,1,0
Canada,1996,Canoeing,0,1,0
Canada,1996,Cycling,0,2,3
Canada,1996,Diving,0,0,1
Canada,1996,Rowing,1,4,1
Canada,1996,Swimming,0,1,2
Canada,1996,Synchronized Swimming,0,1,0
Canada,1996,Wrestling,0,1,0
Canada,2000,Canoeing,0,1,1
Canada,2000,Diving,0,1,1
Canada,2000,Judo,0,1,0
Canada,2000,Rowing,0,0,1
Canada,2000,Swimming,0,0,1
Canada,2000,Synchronized Swimming,0,0,1
Canada,2000,Taekwondo,0,0,1
Canada,2000,Tennis,1,0,0
Canada,2000,Trampolining,0,0,2
Canada,2000,Triathlon,1,0,0
Canada,2000,Wrestling,1,0,0
Canada,2004,Canoeing,1,0,2
Canada,2004,Cycling,1,1,0
Canada,2004,Diving,0,1,1
Canada,2004,Gymnastics,1,0,0
Canada,2004,Rowing,0,1,0
Canada,2004,Sailing,0,1,0
Canada,2004,Trampolining,0,1,0
Canada,2004,Wrestling,0,1,0
Canada,2008,Athletics,0,0,2
Canada,2008,Canoeing,0,1,1
Canada,2008,Diving,0,2,0
Canada,2008,Equestrianism,1,1,0
Canada,2008,Rowing,1,1,2
Canada,2008,Swimming,0,0,1
Canada,2008,Taekwondo,0,1,0
Canada,2008,Trampolining,0,2,0
Canada,2008,Triathlon,0,1,0
Canada,2008,Wrestling,1,0,1
Canada,2012,Athletics,0,0,1
Canada,2012,Canoeing,0,1,2
Canada,2012,Cycling,0,0,1
Canada,2012,Diving,0,0,2
Canada,2012,Football,0,0,1
Canada,2012,Judo,0,0,1
Canada,2012,Rowing,0,2,0
Canada,2012,Swimming,0,1,2
Canada,2012,Trampolining,1,0,0
Canada,2012,Weightlifting,0,0,1
Canada,2012,Wrestling,0,1,1
Canada,2016,Athletics,1,1,4
Canada,2016,Cycling,0,0,2
Canada,2016,Diving,0,0,2
Canada,2016,Equestrianism,0,0,1
Canada,2016,Football,0,0,1
Canada,2016,Rowing,0,1,0
Canada,2016,Rugby Sevens,0,0,1
Canada,2016,Swimming,1,1,4
Canada,2016,Trampolining,1,0,0
Canada,2016,Wrestling,1,0,0
Canada,2020,Athletics,2,1,3
Canada,2020,Baseball/Softball,0,0,1
Canada,2020,Canoe Sprint,0,1,1
Canada,2020,Cycling Track,1,0,1
Canada,2020,Diving,0,1,0
Canada,2020,Football,1,0,0
Canada,2020,Judo,0,0,2
Canada,2020,Rowing,1,0,1
Canada,2020,Swimming,1,3,2
Canada,2020,Weightlifting,1,0,0
Canada,2024,Athletics,3,1,1
Canada,2024,Beach Volleyball,0,0,0
Canada,2024,Boxing,0,0,1
Canada,2024,Breaking,1,0,0
Canada,2024,Canoe Sprint,1,0,1
Canada,2024,Diving,0,0,1
Canada,2024,Fencing,0,0,1
Canada,2024,Judo,1,0,0
Canada,2024,Rowing,0,1,0
Canada,2024,Rugby Sevens,0,1,0
Canada,2024,Swimming,3,2,3
Canada,2024,Taekwondo,0,0,1
Canada,2024,Tennis,0,0,1
Canada,2024,Trampoline Gymnastics,0,0,1
Canada,2024,Weightlifting,0,1,0
Canada,1996,Beach Volleyball,0,0,1
Chile,2000,Football,0,0,1
Chile,2004,Tennis,2,0,1
Chile,2008,Tennis,0,1,0
Chile,2024,Shooting,1,0,0
Chile,2024,Wrestling,0,1,0
China,1992,Archery,0,1,0
China,1992,Athletics,1,1,2
China,1992,Badminton,0,0,1
China,1992,Basketball,0,1,0
China,1992,Diving,3,1,1
China,1992,Fencing,0,1,0
China,1992,Gymnastics,2,4,2
China,1992,Judo,1,0,2
China,1992,Rowing,0,0,1
China,1992,Sailing,0,1,0
China,1992,Shooting,2,2,0
China,1992,Swimming,4,5,0
China,1992,Table Tennis,1,1,1
China,1992,Weightlifting,0,2,2
China,1992,Wrestling,0,0,1
China,1996,Archery,0,1,0
China,1996,Athletics,1,2,1
China,1996,Badminton,0,1,1
China,1996,Diving,3,1,1
China,1996,Football,0,1,0
China,1996,Gymnastics,1,4,1
China,1996,Judo,1,0,1
China,1996,Rowing,0,1,0
China,1996,Shooting,2,2,1
China,1996,Softball,0,1,0
China,1996,Swimming,1,3,2
China,1996,Table Tennis,2,1,1
China,1996,Volleyball,0,1,0
China,1996,Weightlifting,2,1,1
China,1996,Wrestling,0,0,1
China,2000,Athletics,1,0,0
China,2000,Badminton,2,1,2
China,2000,Cycling,0,0,1
China,2000,Diving,5,5,0
China,2000,Fencing,0,1,1
China,2000,Gymnastics,3,2,2
China,2000,Judo,2,1,1
China,2000,Shooting,3,2,3
China,2000,Table Tennis,2,1,1
China,2000,Taekwondo,1,0,0
China,2000,Weightlifting,5,1,1
China,2000,Wrestling,0,0,1
China,2004,Archery,0,1,0
China,2004,Athletics,2,0,0
China,2004,Badminton,1,1,1
China,2004,Boxing,0,0,1
China,2004,Canoeing,1,0,0
China,2004,Cycling,0,1,0
China,2004,Diving,6,2,1
China,2004,Fencing,0,3,0
China,2004,Gymnastics,1,0,2
China,2004,Judo,1,1,3
China,2004,Sailing,0,1,0
China,2004,Shooting,4,2,3
China,2004,Swimming,1,1,0
China,2004,Table Tennis,1,1,1
China,2004,Taekwondo,2,0,0
China,2004,Trampolining,0,0,1
China,2004,Volleyball,1,0,0
China,2004,Weightlifting,5,3,0
China,2004,Wrestling,1,0,0
China,2008,Archery,1,1,1
China,2008,Athletics,0,0,2
China,2008,Badminton,2,1,1
China,2008,Boxing,2,1,1
China,2008,Canoeing,1,0,0
China,2008,Cycling,0,0,1
China,2008,Diving,7,1,3
China,2008,Fencing,1,1,0
China,2008,Gymnastics,9,1,4
China,2008,Hockey,0,1,0
China,2008,Judo,3,0,1
China,2008,Rhythmic Gymnastics,0,1,0
China,2008,Rowing,1,1,0
China,2008,Sailing,1,0,1
China,2008,Shooting,5,2,1
China,2008,Swimming,1,3,2
China,2008,Synchronized Swimming,0,0,1
China,2008,Table Tennis,4,2,2
China,2008,Taekwondo,1,0,1
China,2008,Trampolining,2,0,1
China,2008,Volleyball,0,0,1
China,2008,Weightlifting,8,1,0
China,2008,Wrestling,1,2,0
China,2012,Archery,0,1,1
China,2012,Athletics,1,0,5
China,2012,Badminton,2,1,1
China,2012,Boxing,1,1,1
China,2012,Cycling,0,2,1
China,2012,Diving,6,3,1
China,2012,Fencing,2,0,1
China,2012,Gymnastics,4,3,1
China,2012,Judo,0,1,1
China,2012,Modern Pentathlon,0,1,0
China,2012,Rowing,0,1,0
China,2012,Sailing,1,0,0
China,2012,Shooting,2,2,3
China,2012,Swimming,5,2,3
China,2012,Synchronized Swimming,0,1,1
China,2012,Table Tennis,4,2,0
China,2012,Taekwondo,1,1,1
China,2012,Trampolining,1,1,2
China,2012,Weightlifting,5,2,0
China,2012,Wrestling,0,1,0
China,2016,Athletics,2,2,2
China,2016,Badminton,1,0,0
China,2016,Boxing,0,1,3
China,2016,Cycling,1,0,0
China,2016,Diving,7,2,1
China,2016,Fencing,0,1,1
China,2016,Golf,0,0,1
China,2016,Gymnastics,0,0,2
China,2016,Judo,0,0,2
China,2016,Rowing,0,0,2
China,2016,Sailing,0,1,0
China,2016,Shooting,1,2,4
China,2016,Swimming,1,2,3
China,2016,Synchronized Swimming,0,2,0
China,2016,Table Tennis,4,2,0
China,2016,Taekwondo,2,0,0
China,2016,Trampolining,0,1,2
China,2016,Volleyball,1,0,0
China,2016,Weightlifting,5,2,0
China,2016,Wrestling,0,0,2
China,2020,3x3 Basketball,0,0,1
China,2020,Artistic Gymnastics,3,3,2
China,2020,Artistic Swimming,0,2,0
China,2020,Athletics,2,2,1
China,2020,Badminton,2,4,0
China,2020,Boxing,0,2,0
China,2020,Canoe Sprint,1,2,0
China,2020,Cycling Track,1,0,0
China,2020,Diving,7,5,0
China,2020,Fencing,1,0,0
China,2020,Karate,0,1,1
China,2020,Rowing,1,0,2
China,2020,Sailing,1,0,1
China,2020,Shooting,4,1,6
China,2020,Swimming,3,2,1
China,2020,Table Tennis,3,1,0
China,2020,Taekwondo,0,0,1
China,2020,Trampoline Gymnastics,1,2,0
China,2020,Weightlifting,7,1,0
China,2020,Wrestling,0,2,2
China,2024,Archery,0,1,0
China,2024,Artistic Gymnastics,2,5,2
China,2024,Artistic Swimming,2,0,0
China,2024,Athletics,1,1,2
China,2024,Badminton,1,3,0
